model,left_q,left_term,right_q,right_term,hac_covariance
Croston SBA,12,joint_fit_shift,8,outcome_fit_shift,2.6256794047848118e-07
Croston SBA,12,joint_fit_shift,8,forecast_fit_shift,-1.3244763087789052e-07
Croston SBA,12,joint_fit_shift,8,joint_fit_shift,-3.6872595569112853e-09
Croston SBA,12,joint_fit_shift,12,outcome_fit_shift,1.9376444210928131e-07
Croston SBA,12,joint_fit_shift,12,forecast_fit_shift,-2.6179371469106856e-08
Croston SBA,12,joint_fit_shift,12,joint_fit_shift,1.7801501686524064e-08
Croston SBA,12,joint_fit_shift,16,outcome_fit_shift,2.0119780814283645e-07
Croston SBA,12,joint_fit_shift,16,forecast_fit_shift,-1.5213729390260203e-07
Croston SBA,12,joint_fit_shift,16,joint_fit_shift,5.2274964321719338e-08
Croston SBA,12,joint_fit_shift,24,outcome_fit_shift,1.8730773515634822e-07
Croston SBA,12,joint_fit_shift,24,forecast_fit_shift,-1.5683117585093177e-07
Croston SBA,12,joint_fit_shift,24,joint_fit_shift,4.3121551110195294e-08
Croston SBA,12,joint_fit_shift,32,outcome_fit_shift,2.1309439326325266e-07
Croston SBA,12,joint_fit_shift,32,forecast_fit_shift,-1.7596660902425141e-07
Croston SBA,12,joint_fit_shift,32,joint_fit_shift,4.0648816968296761e-08
Croston SBA,16,outcome_fit_shift,8,outcome_fit_shift,6.6056292729536399e-06
Croston SBA,16,outcome_fit_shift,8,forecast_fit_shift,-3.9941065320420154e-06
