baseline,method,week,start,mse,mae
seasonal_24h,augment__hist_gradient_boosting,9,2018-11-10 00:00:00,16422.000640516606,90.98970185181686
seasonal_24h,augment__hist_gradient_boosting,10,2018-11-17 00:00:00,14195.412871585522,81.3838481147798
seasonal_24h,augment__hist_gradient_boosting,11,2018-11-24 00:00:00,8878.780525142967,62.77926661155793
seasonal_24h,gated__hist_gradient_boosting,0,2018-09-08 00:00:00,123582.47857186744,254.80931674521278
seasonal_24h,gated__hist_gradient_boosting,1,2018-09-15 00:00:00,738105.0102376825,702.4722182775482
seasonal_24h,gated__hist_gradient_boosting,2,2018-09-22 00:00:00,370511.82136194134,435.47807872266753
seasonal_24h,gated__hist_gradient_boosting,3,2018-09-29 00:00:00,1020798.1436144083,881.7510930427161
seasonal_24h,gated__hist_gradient_boosting,4,2018-10-06 00:00:00,470289.19431684486,516.0022962153325
seasonal_24h,gated__hist_gradient_boosting,5,2018-10-13 00:00:00,89790.71292540307,217.18030556113337
seasonal_24h,gated__hist_gradient_boosting,6,2018-10-20 00:00:00,152929.98279385825,290.93002875504203
seasonal_24h,gated__hist_gradient_boosting,7,2018-10-27 00:00:00,94161.03819114513,230.46390296143232
seasonal_24h,gated__hist_gradient_boosting,8,2018-11-03 00:00:00,656623.6300204407,706.341748650623
seasonal_24h,gated__hist_gradient_boosting,9,2018-11-10 00:00:00,101537.565740493,227.97186921538088
seasonal_24h,gated__hist_gradient_boosting,10,2018-11-17 00:00:00,75946.84414798352,204.3517179070674
seasonal_24h,gated__hist_gradient_boosting,11,2018-11-24 00:00:00,112695.63630180356,245.60401022401916
seasonal_24h,direct__mirror_ridge_control,0,2018-09-08 00:00:00,322600.9486673878,354.2870903772341
seasonal_24h,direct__mirror_ridge_control,1,2018-09-15 00:00:00,2298218.8651825422,1036.9986800516456
seasonal_24h,direct__mirror_ridge_control,2,2018-09-22 00:00:00,1469120.3260231237,754.4581066179261
seasonal_24h,direct__mirror_ridge_control,3,2018-09-29 00:00:00,6127190.743118148,2027.4907164203282
seasonal_24h,direct__mirror_ridge_control,4,2018-10-06 00:00:00,2790974.608941909,1178.3913681666672
seasonal_24h,direct__mirror_ridge_control,5,2018-10-13 00:00:00,252744.02925548956,295.52040833692763
seasonal_24h,direct__mirror_ridge_control,6,2018-10-20 00:00:00,584046.3580744341,512.299593998902
seasonal_24h,direct__mirror_ridge_control,7,2018-10-27 00:00:00,425052.1748546225,393.0088803758013
seasonal_24h,direct__mirror_ridge_control,8,2018-11-03 00:00:00,2426542.3335343925,1208.318102161967
seasonal_24h,direct__mirror_ridge_control,9,2018-11-10 00:00:00,544839.994620705,477.50139776817855
seasonal_24h,direct__mirror_ridge_control,10,2018-11-17 00:00:00,210027.84027838413,279.4115478359868
